Time, Tfluid1, Tfluid2, Temp, S11, S12, S22, S33
0, 20, 20, 20, 0, 0, 0, 0
1, 20, 20, 20, -4.75061E-18, 1.14277E-17, 1.12566E-17, 2.11163E-17
1.61564, 100.0332, 20, 20.6879, -0.94034, 0.0118583, 1.52959, 0.0362399
2.23128, 150, 20, 22.2238, -2.19624, 0.0230467, 2.39328, -1.15675
2.84692, 150, 20, 24.2552, -3.12576, 0.0250063, 1.26854, -3.90204
3.46256, 150, 20, 26.5472, -3.83104, 0.0226104, -1.13604, -7.62806
4.0782, 150, 20, 28.9467, -4.37778, 0.0177961, -4.34441, -11.9495
5.00166, 150, 20, 32.5162, -4.98154, 0.00977514, -10.0459, -19.045
6.38685, 150, 20, 37.4588, -5.62597, 0.00100569, -19.0826, -29.8513
8.46464, 150, 20, 43.77, -6.31585, -0.00350699, -31.9678, -45.0634
11.5813, 150, 20, 51.2191, -7.07135, 0.00194874, -48.6129, -64.8749
16.2563, 150, 20, 59.4552, -7.90424, 0.0192466, -68.2689, -88.8981
23.2689, 150, 20, 68.1056, -8.80306, 0.0462141, -89.4818, -116.073
33.7877, 150, 20, 76.851, -9.73772, 0.0737014, -110.375, -144.955
49.5658, 150, 20, 85.4248, -10.6713, 0.0879311, -128.884, -173.917
73.2331, 150, 20, 93.5919, -11.5624, 0.0715465, -142.82, -201.137
108.734, 150, 20, 101.173, -12.3658, 0.007052, -150.279, -224.86
158.734, 150, 20, 107.756, -13.0152, -0.102973, -150.283, -242.886
208.734, 150, 20, 112.23, -13.3988, -0.206992, -145.839, -252.859
258.734, 150, 20, 115.489, -13.6282, -0.295487, -139.552, -258.21
308.734, 150, 20, 117.984, -13.7574, -0.366989, -132.642, -260.719
358.734, 150, 20, 119.968, -13.8176, -0.4231, -125.695, -261.397
408.734, 150, 20, 121.592, -13.8284, -0.466016, -118.995, -260.843
458.734, 150, 20, 122.952, -13.802, -0.498509, -112.675, -259.444
508.734, 150, 20, 124.115, -13.7475, -0.523118, -106.79, -257.451
558.734, 150, 20, 125.123, -13.671, -0.541819, -101.347, -255.037
608.734, 150, 20, 126.01, -13.5777, -0.555959, -96.3359, -252.33
658.734, 150, 20, 126.8, -13.4711, -0.566649, -91.7285, -249.41
708.734, 150, 20, 127.511, -13.3541, -0.574759, -87.4963, -246.339
758.734, 150, 20, 128.156, -13.2289, -0.580839, -83.6084, -243.165
